a,pg,aLabel,born,died
http://www.wikidata.org/entity/Q185696,102,Louisa May Alcott,1832-11-29T00:00:00Z,1888-03-06T00:00:00Z
http://www.wikidata.org/entity/Q229480,22,Willa Cather,1873-12-07T00:00:00Z,1947-04-24T00:00:00Z
http://www.wikidata.org/entity/Q274219,1399,Augusta Jane Evans Wilson,1835-05-08T00:00:00Z,1909-05-09T00:00:00Z
http://www.wikidata.org/entity/Q276032,104,Edith Wharton,1862-01-24T00:00:00Z,1937-08-11T00:00:00Z
http://www.wikidata.org/entity/Q374462,1403,Ada Cambridge,1844-11-21T00:00:00Z,1926-07-19T00:00:00Z
http://www.wikidata.org/entity/Q444995,202,Sarah Orne Jewett,1849-09-03T00:00:00Z,1909-06-24T00:00:00Z
http://www.wikidata.org/entity/Q460366,183,Mary Roberts Rinehart,1876-08-12T00:00:00Z,1958-09-22T00:00:00Z
http://www.wikidata.org/entity/Q477999,201,Mary Hunter Austin,1868-09-09T00:00:00Z,1934-08-13T00:00:00Z
http://www.wikidata.org/entity/Q2668090,188,Zitkala-Sa,1876-02-22T00:00:00Z,1938-01-28T00:00:00Z
http://www.wikidata.org/entity/Q3142772,1509,Huguette Bertrand,1942-04-04T00:00:00Z,
http://www.wikidata.org/entity/Q3327092,1561,Ethel Turner,1870-01-24T00:00:00Z,1958-04-08T00:00:00Z
http://www.wikidata.org/entity/Q5363049,197,Elizabeth Jordan,1865-05-09T00:00:00Z,1947-02-24T00:00:00Z
http://www.wikidata.org/entity/Q6698108,1092,Lucretia Peabody Hale,1820-09-02T00:00:00Z,1900-06-12T00:00:00Z
http://www.wikidata.org/entity/Q6779911,1450,Mary Jean Stone,1853-01-01T00:00:00Z,1908-05-03T00:00:00Z
http://www.wikidata.org/entity/Q6780145,2147,Mary Louisa Molesworth,1839-05-29T00:00:00Z,1921-01-20T00:00:00Z
http://www.wikidata.org/entity/Q16211338,2325,Henriette Guizot de Witt,1829-08-06T00:00:00Z,1908-05-06T00:00:00Z
http://www.wikidata.org/entity/Q23618783,198,Frances Jenkins Olcott,1872-01-01T00:00:00Z,1963-03-29T00:00:00Z
http://www.wikidata.org/entity/Q109855789,1730,Frances Boyd Calhoun,1867-12-25T00:00:00Z,1909-01-01T00:00:00Z
http://www.wikidata.org/entity/Q138717379,2116,Q138717379,1829-01-01T00:00:00Z,1916-01-01T00:00:00Z
http://www.wikidata.org/entity/Q87140,25760,Nataly von Eschstruth,1860-05-17T00:00:00Z,1939-12-01T00:00:00Z
http://www.wikidata.org/entity/Q438241,266,Kate Douglas Wiggin,1856-09-28T00:00:00Z,1923-08-24T00:00:00Z
http://www.wikidata.org/entity/Q3473261,253,Sara Cone Bryant,1873-01-04T00:00:00Z,1956-05-28T00:00:00Z
http://www.wikidata.org/entity/Q6759892,307,Margaret Sidney,1844-06-22T00:00:00Z,1924-08-02T00:00:00Z
http://www.wikidata.org/entity/Q7050140,3534,Nora Perry,1831-01-01T00:00:00Z,1896-05-13T00:00:00Z
http://www.wikidata.org/entity/Q15982609,360,Martha Young,1862-01-11T00:00:00Z,1941-05-09T00:00:00Z
http://www.wikidata.org/entity/Q15996310,259,Miriam Michelson,1870-01-01T00:00:00Z,1942-05-28T00:00:00Z
http://www.wikidata.org/entity/Q16733642,35096,Marilyn Bailey Ogilvie,1936-03-22T00:00:00Z,
http://www.wikidata.org/entity/Q18572180,336,Alexandra Orr,1828-12-23T00:00:00Z,1903-01-01T00:00:00Z
http://www.wikidata.org/entity/Q18911148,26717,Jean Lang,1867-11-06T00:00:00Z,1932-04-05T00:00:00Z
http://www.wikidata.org/entity/Q19613671,3202,Sidonie Matsner Gruenberg,1881-06-10T00:00:00Z,1974-03-11T00:00:00Z
http://www.wikidata.org/entity/Q21051933,32231,Martha Meir Allen,1854-01-01T00:00:00Z,1926-01-01T00:00:00Z
http://www.wikidata.org/entity/Q21460982,34069,Noel Laura Nisbet,1887-01-01T00:00:00Z,1956-01-01T00:00:00Z
http://www.wikidata.org/entity/Q28957204,25417,Cynthia Stockley,1873-07-07T00:00:00Z,1936-01-15T00:00:00Z
http://www.wikidata.org/entity/Q66328185,3431,Paola Koralek,1876-07-14T00:00:00Z,1924-01-01T00:00:00Z
http://www.wikidata.org/entity/Q66328185,3431,Paola Koralek,1882-01-01T00:00:00Z,1924-01-01T00:00:00Z
http://www.wikidata.org/entity/Q111434217,31866,Henrietta Latham Dwight,1840-10-21T00:00:00Z,1909-02-08T00:00:00Z
http://www.wikidata.org/entity/Q111525196,32343,James Tandy Ellis,1868-06-09T00:00:00Z,1942-12-09T00:00:00Z
http://www.wikidata.org/entity/Q231708,407,Edith Nesbit,1858-08-15T00:00:00Z,1924-05-04T00:00:00Z
http://www.wikidata.org/entity/Q234530,45,Emma Orczy,1865-09-23T00:00:00Z,1947-11-12T00:00:00Z
http://www.wikidata.org/entity/Q234530,45,Emma Orczy,1865-09-27T00:00:00Z,1947-11-12T00:00:00Z
http://www.wikidata.org/entity/Q271905,445,Mary Rowlandson,1635-01-01T00:00:00Z,1711-01-05T00:00:00Z
http://www.wikidata.org/entity/Q288210,393,Isabella Bird,1831-10-15T00:00:00Z,1904-10-08T00:00:00Z
http://www.wikidata.org/entity/Q948301,4096,Margery Williams,1881-07-22T00:00:00Z,1944-09-04T00:00:00Z
http://www.wikidata.org/entity/Q4895476,38146,Bertha Damon,1881-01-01T00:00:00Z,1976-01-01T00:00:00Z
http://www.wikidata.org/entity/Q5591249,4009,Grace King,1852-11-29T00:00:00Z,1932-01-12T00:00:00Z
http://www.wikidata.org/entity/Q5591249,4009,Grace King,1852-11-29T00:00:00Z,1932-01-14T00:00:00Z
http://www.wikidata.org/entity/Q7647917,40375,Susan Hale,1833-12-05T00:00:00Z,1910-09-17T00:00:00Z
http://www.wikidata.org/entity/Q12795675,39291,Margaret Prescott Montague,1878-11-29T00:00:00Z,1955-09-26T00:00:00Z
http://www.wikidata.org/entity/Q43335184,38190,Willie Walker Caldwell,1860-01-01T00:00:00Z,1946-01-01T00:00:00Z
http://www.wikidata.org/entity/Q81187676,3658,G. M. Draycott,,
http://www.wikidata.org/entity/Q155566,51177,Princess Alice of the United Kingdom,1843-04-25T00:00:00Z,1878-12-14T00:00:00Z
