# generated 2026-09-18 from Wikidata + Gutenberg RDF dump of 2026-09-17; see claudette.catalog for the rule. Do not hand-edit.
id,slug,authors,title,language,year,basis
24,cather-o-pioneers-24,Willa Cather,O Pioneers!,en,1903,Q229480
32,gilman-herland-32,Charlotte Perkins Gilman,Herland,en,1890,Q287752
44,cather-the-song-of-the-lark-44,Willa Cather,The Song of the Lark,en,1903,Q229480
45,montgomery-anne-of-green-gables-45,Lucy Maud Montgomery,Anne of Green Gables,en,1904,Q273034
47,montgomery-anne-of-avonlea-47,Lucy Maud Montgomery,Anne of Avonlea,en,1904,Q273034
49,polly-surfing-the-internet-an-introd-49,Jean Armour Polly,Surfing the Internet: An Introduction Version 2.0.2,en,1980,Q6170134
51,montgomery-anne-of-the-island-51,Lucy Maud Montgomery,Anne of the Island,en,1904,Q273034
56,polly-nren-for-all-insurmountable-op-56,Jean Armour Polly,NREN for All: Insurmountable Opportunity,en,1980,Q6170134
60,orczy-the-scarlet-pimpernel-60,Emma Orczy,The Scarlet Pimpernel,en,1895,Q234530
84,shelley-frankenstein-or-the-modern-pro-84,Mary Shelley,"Frankenstein; or, the modern prometheus",en,1827,Q47152
94,cather-alexander-s-bridge-94,Willa Cather,Alexander's Bridge,en,1903,Q229480
105,austen-persuasion-105,Jane Austen,Persuasion,en,1805,Q36322
109,millay-renascence-and-other-poems-109,Edna St. Vincent Millay,"Renascence, and Other Poems",en,1922,Q62134
111,stratton-porter-freckles-111,Gene Stratton-Porter,Freckles,en,1893,Q5531480
113,burnett-the-secret-garden-113,Frances Hodgson Burnett,The Secret Garden,en,1879,Q276028
121,austen-northanger-abbey-121,Jane Austen,Northanger Abbey,en,1805,Q36322
125,stratton-porter-a-girl-of-the-limberlost-125,Gene Stratton-Porter,A Girl of the Limberlost,en,1893,Q5531480
134,wollstonecraft-maria-or-the-wrongs-of-woman-134,Mary Wollstonecraft,"Maria; Or, The Wrongs of Woman",en,1789,Q101638
137,burnett-sara-crewe-or-what-happened-at-137,Frances Hodgson Burnett,"Sara Crewe; Or, What Happened at Miss Minchin's Boarding School",en,1879,Q276028
141,austen-mansfield-park-141,Jane Austen,Mansfield Park,en,1805,Q36322
144,woolf-the-voyage-out-144,Virginia Woolf,The Voyage Out,en,1912,Q40909
145,eliot-middlemarch-145,George Eliot,Middlemarch,en,1849,Q131333
146,burnett-a-little-princess-being-the-wh-146,Frances Hodgson Burnett,A Little Princess Being the whole story of Sara Crewe now told for the first time,en,1879,Q276028
157,webster-daddy-long-legs-157,Jean Webster,Daddy-Long-Legs,en,1906,Q238140
158,austen-emma-158,Jane Austen,Emma,en,1805,Q36322
160,chopin-the-awakening-and-selected-sho-160,Kate Chopin,"The Awakening, and Selected Short Stories",en,1880,Q230476
161,austen-sense-and-sensibility-161,Jane Austen,Sense and Sensibility,en,1805,Q36322
163,alcott-flower-fables-163,Louisa May Alcott,Flower Fables,en,1862,Q185696
166,wharton-summer-166,Edith Wharton,Summer,en,1892,Q276032
171,rowson-charlotte-temple-171,Susanna Rowson,Charlotte Temple,en,1792,Q458822
203,stowe-uncle-tom-s-cabin-203,Harriet Beecher Stowe,Uncle Tom's Cabin,en,1841,Q102513
238,webster-dear-enemy-238,Jean Webster,Dear Enemy,en,1906,Q238140
242,cather-my-antonia-242,Willa Cather,My Ántonia,en,1903,Q229480
261,lowell-a-dome-of-many-coloured-glass-261,Amy Lawrence Lowell,A Dome of Many-Coloured Glass,en,1904,Q265841
267,wharton-the-touchstone-267,Edith Wharton,The Touchstone,en,1892,Q276032
271,sewell-black-beauty-b-the-autobiograp-271,Anna Sewell,Black Beauty : $b The autobiography of a horse,en,1850,Q258741
283,wharton-the-reef-283,Edith Wharton,The Reef,en,1892,Q276032
284,wharton-the-house-of-mirth-284,Edith Wharton,The House of Mirth,en,1892,Q276032
286,stratton-porter-laddie-a-true-blue-story-286,Gene Stratton-Porter,Laddie: A True Blue Story,en,1893,Q5531480
287,barr-remember-the-alamo-287,Amelia Edith Huddleston Barr,Remember the Alamo,en,1861,Q965138
295,wharton-the-early-short-fiction-of-edi-295,Edith Wharton,The Early Short Fiction of Edith Wharton — Part 1,en,1892,Q276032
306,wharton-the-early-short-fiction-of-edi-306,Edith Wharton,The Early Short Fiction of Edith Wharton — Part 2,en,1892,Q276032
311,wharton-bunner-sisters-311,Edith Wharton,Bunner Sisters,en,1892,Q276032
316,montgomery-the-golden-road-316,Lucy Maud Montgomery,The Golden Road,en,1904,Q273034
330,rinehart-where-there-s-a-will-330,Mary Roberts Rinehart,Where There's a Will,en,1906,Q460366
335,davis-frances-waldeaux-a-novel-335,Rebecca Harding Davis,Frances Waldeaux: A Novel,en,1861,Q2890486
338,zitkala-sa-old-indian-legends-338,Zitkala-Sa,Old Indian Legends,en,1906,Q2668090
341,mclaughlin-myths-and-legends-of-the-sioux-341,Marie L. McLaughlin,Myths and Legends of the Sioux,en,1872,Q120835930
346,cather-the-troll-garden-and-selected-346,Willa Cather,"The Troll Garden, and Selected Stories",en,1903,Q229480
349,stratton-porter-the-harvester-349,Gene Stratton-Porter,The Harvester,en,1893,Q5531480
350,ferber-fanny-herself-350,Edna Ferber,Fanny Herself,en,1915,Q283496
352,ferber-buttered-side-down-stories-352,Edna Ferber,Buttered Side Down: Stories,en,1915,Q283496
354,shaw-the-story-of-a-pioneer-354,Anna Howard Shaw; Elizabeth Jordan,The Story of a Pioneer,en,1877,"Q532873,Q5363049"
359,olcott-good-stories-for-great-holiday-359,Frances Jenkins Olcott,Good Stories for Great Holidays Arranged for Story-Telling and Reading Aloud and for the Children's Own Reading,en,1902,Q23618783
361,porter-miss-billy-married-361,Eleanor H. Porter,Miss Billy — Married,en,1898,Q235368
362,porter-miss-billy-s-decision-362,Eleanor H. Porter,Miss Billy's Decision,en,1898,Q235368
365,austin-the-land-of-little-rain-365,Mary Hunter Austin,The Land of Little Rain,en,1898,Q477999
366,rinehart-bab-a-sub-deb-366,Mary Roberts Rinehart,Bab: A Sub-Deb,en,1906,Q460366
